Kanske et al. (2010) - Supplement
LANG database, including valence mean and sd, arousal mean and sd,
concreteness mean and sd, frequency, number of letters and syllables.
Ratings from all, female, and male participants are provided separately.
all participants
word	valence_mean	valence_sd	arousal_mean	arousal_sd	concreteness_mean	concreteness_sd	frequency	number_of_letters	number_of_syllables
Abdruck	5.031250	0.616409	2.573771	1.839013	4.196721	2.688368	14	7	2
Abend	6.193548	1.948843	3.875000	2.346899	4.984127	2.915432	8	5	2
Abfahrt	5.046875	0.966579	2.096774	1.467793	5.412698	2.606660	11	7	2
Abfall	3.828125	1.847819	3.412698	2.160010	3.467742	2.467612	12	6	2
Ablauf	5.109375	0.669451	1.903226	1.422416	6.838710	2.503725	11	6	2
Absatz	4.906250	1.122904	2.612903	2.035382	4.677419	2.895866	10	6	2
Abschaum	3.317460	2.354306	5.859375	2.369564	6.032258	2.579667	16	8	2
Abscheu	3.546875	2.308918	5.693548	2.570888	7.709677	1.673194	13	7	2
Absicht	4.921875	0.802866	2.725807	2.065877	6.885246	2.367125	10	7	2
Abstand	4.921875	0.822399	2.640625	2.002912	5.936508	2.681315	10	7	2
Abstieg	3.890625	2.055710	3.428571	2.360387	6.047619	2.517222	11	7	2
Absturz	3.746032	2.071062	4.682540	2.595439	6.016129	2.595658	11	7	2
Abteil	5.015625	0.967605	1.800000	1.350455	2.761905	2.130533	14	6	2
Abzweig	4.875000	0.899735	2.312500	1.660704	5.476191	2.428707	16	7	2
Achse	5.140625	1.036894	2.114754	1.732997	2.888889	2.300849	12	5	2
Advent	6.301587	2.060652	4.079365	2.671846	5.306452	2.928597	13	6	2
Ahorn	5.421875	1.366315	2.603175	2.052062	1.693548	1.249114	15	5	2
Aids	2.714286	2.755807	7.253968	2.086580	5.370968	2.993073	11	4	1
Akkord	5.396825	1.465074	3.301587	2.211662	5.677419	2.803828	14	6	2
Akne	3.370968	2.299208	5.234375	2.492797	2.349206	1.815336	16	4	2
Akte	4.578125	1.244731	2.491803	2.141829	2.698413	2.182296	12	4	2
Akteur	5.349206	1.018518	3.484375	2.160190	4.777778	2.580600	13	6	2
Akzent	5.421875	1.561488	3.515625	2.145443	6.338710	2.462463	12	6	2
Album	5.328125	1.273100	2.714286	1.852884	2.741936	2.126611	11	5	2
Alge	4.750000	1.356934	2.590164	2.147689	2.032258	1.425387	17	4	2
Ampel	4.906250	0.849253	2.387097	2.075263	1.746032	1.469784	12	5	2
Amsel	5.640625	1.483959	2.444444	1.739279	1.492064	0.997950	15	5	2
Andrang	4.578125	1.306937	3.253968	1.942465	6.253968	2.299848	12	7	2
Anfahrt	5.111111	0.625045	2.387097	1.994705	5.825397	2.537078	14	7	2
Angel	5.062500	1.081959	2.129032	1.498457	1.507937	1.075730	13	5	2
Angriff	4.140625	2.061493	5.857143	2.539095	6.126984	2.498335	10	7	2
Angst	3.095238	2.757478	7.078125	2.125467	7.629032	2.010088	8	5	1
Anhang	5.015625	0.983873	2.338710	1.889952	6.016129	2.790452	13	6	2
Anker	4.903226	1.111928	2.548387	2.037979	1.269841	0.846365	13	5	2
Ankunft	5.453125	1.592938	2.209677	1.968082	6.222222	2.510908	11	7	2
Anlass	5.390625	0.847352	2.825397	1.888332	7.063492	2.124155	10	6	2
Anlauf	5.125000	0.723747	2.596774	1.796715	6.032258	2.449274	11	6	2
Anmut	6.285714	2.082404	5.546875	2.409832	7.983871	1.108713	14	5	2
Anrecht	5.218750	1.506270	2.730159	2.411039	7.516129	2.022350	15	7	2
Anreiz	6.112903	1.934203	4.843750	2.338218	7.285714	2.090135	12	6	2
Ansatz	5.062500	0.833333	2.048387	1.683356	6.661290	2.534636	11	6	2
Anschein	5.187500	0.794325	3.062500	1.926218	7.629032	1.821852	12	8	2
Anschlag	3.387097	2.363346	6.158730	2.610193	5.841270	2.515798	10	8	2
Ansporn	5.746032	1.534215	4.968750	2.442798	7.258065	2.304205	14	7	2
Anstand	5.734375	1.545523	3.111111	1.976565	7.306452	1.980137	13	7	2
